5 Digit NTD ID,ntdid,name,Reporter Acronym,Doing Business As,Reporter Status,Reporter Type,Form Module Type,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,City,State,Zip Code,Zip Code Ext,P.O. Box,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
50059,5059,Springfield Mass Transit District,SMTD,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,928 South Ninth Street,,Springfield,IL,62703,2497,,5,http://www.smtd.org/,1187,62326152,65,"123,682",206,"Springfield, IL",,"161,316","1,747",92,Y,60,,60,,
50060,5060,Champaign-Urbana Mass Transit District,C-U MTD,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,1101 East University Avenue,,Urbana,IL,61802,2009,,5,http://www.cumtd.com/,1188,65236325,30,"141,471",224,"Champaign, IL",,"145,361","3,100",47,Y,103,16,119,,
50061,5061,Decatur Public Transit System,DPTS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,555 East Wood Street,,Decatur,IL,62523,1325,,5,http://www.decaturil.gov/transit.htm/,1274,75613000,53,"81,337",313,"Decatur, IL",,"93,863","1,586",59,Y,28,7,35,,
50066,5066,Chicago Transit Authority,CTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,567 West Lake Street,,Chicago,IL,60661,1498,,5,http://www.transitchicago.com/,1182,5532205,314,"3,345,983",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,"2,728",,"2,728",,
50088,5088,Shoreline Metro,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,608 South Commerce Street,,Sheboygan,WI,53081,4356,,5,http://www.shorelinemetro.com/,2059,76144153,23,"59,490",388,"Sheboygan, WI",,"71,313","2,133",33,Y,28,,28,,
50090,5090,Richland County Transit,RCT,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,35 North Park Street,,Mansfield,OH,44902,,,5,http://www.rctbuses.com/,1240,194174645,39,"66,787",372,"Mansfield, OH",,"75,250","1,496",50,Y,,14,14,,
50091,5091,Wausau Area Transit System,WATS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,420 Plumer Street,,Wausau,WI,54403,6276,,5,http://metroride.ci.wausau.wi.us/,2061,933366296,19,"39,302",375,"Wausau, WI",,"74,632","1,592",47,Y,21,,21,,
50092,5092,City of Rochester Public Transportation,RPT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,"201 4th Street, S.E.",Room 108,Rochester,MN,55904,,,5,http://www.RPTRide.com/,1222,77629467,51,"104,230",288,"Rochester, MN",,"107,677","2,129",51,Y,,42,42,,
50093,5093,Lima Allen County Regional Transit Authority,LACRTA,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,200 East High Street,,Lima,OH,45801,4424,,5,http://www.acrta.com/,1230,22368849,407,"106,094",381,"Lima, OH",,"72,852","1,392",52,Y,22,7,29,,
50095,5095,Lorain County Transit,LCT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,226 Middle Avenue,,Elyria,OH,44035,,,5,http://www.loraincounty.us/transit/,1229,618080436,49,"127,025",191,"Lorain-Elyria, OH",,"180,956","1,806",100,Y,,6,6,,
50096,5096,City of Waukesha Transit Commission,Waukesha Metro Transit,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,2311 Badger Drive,,Waukesha,WI,53188,5932,,5,http://www.waukeshametro.org/,5019,73850166,43,"141,642",35,"Milwaukee, WI",,"1,376,476","2,523",546,Y,25,16,41,,
50098,5098,Michigan City Transit,MC Transit,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,1801 Kentucky Street,,Michigan City,IN,46360,,,5,http://emichigancity.com/,6273,51213551,20,"31,479",418,"Michigan City-La Porte, IN-MI",,"66,025","1,695",39,N,8,,8,,
50099,5099,Eau Claire Transit,ECT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,910 Forest Street,,Eau Claire,WI,54703,,,5,http://www.ci.eau-claire.wi.us/,1319,20495156,28,"74,601",297,"Eau Claire, WI",,"102,852","1,491",69,Y,16,34,50,,
50103,5103,North Township of Lake County Dial-A-Ride,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,5947 Hohman Avenue,,Hammond,IN,46320,,,5,http://www.northtownshiptrustee.com/,,45240165,51,"162,855",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,6,26,32,,
50104,5104,Northern Indiana Commuter Transportation District,NICTD,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,33 East U.S. Highway 12,,Chesterton,IN,46304,,,5,http://www.nictd.com/,1201,49351778,"1,970","958,644",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,70,,70,,
50107,5107,Henderson Area Rapid Transit,HART,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,P. O. Box 716,,Henderson,KY,42419,716,716,5,http://www.cityofhendersonky.org/,2052,71339527,16,"28,900",159,"Evansville, IN-KY",,"229,351","1,930",119,Y,7,,7,,
50108,5108,Janesville Transit System,JTS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,101 Black Bridge Rd.,,Janesville,WI,53545,784,,5,http://www.ci.janesville.wi.us/,1322,73841025,28,"63,600",396,"Janesville, WI",,"69,658","2,263",31,Y,15,2,17,,
50109,5109,City of Beloit Transit System,BTS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,1225 Willowbrook Road,,Beloit,WI,53511,,,5,http://www.beloittransit.com/,1318,73859266,16,"35,871",432,"Beloit, WI-IL",,"63,835","1,858",34,Y,6,2,8,,
50110,5110,Bloomington Public Transportation Corporation,BT,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,130 West Grimes Lane,,Bloomington,IN,47403,,,5,http://www.bloomingtontransit.com/,1909,156057846,21,"80,405",286,"Bloomington, IN",,"108,657","2,426",45,Y,38,,38,,
50113,5113,Pace - Suburban Bus Division,PACE,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,550 West Algonquin Road,,Arlington Heights,IL,60005,,,5,http://www.pacebus.com/,5118,131205833,"3,519","5,630,238",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,"1,237",401,"1,638",,
50117,5117,Laketran,,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,555 Lake Shore Blvd,,Grand River,OH,44045,158,158,5,http://www.laketran.com/,3039,156034969,227,"229,230",25,"Cleveland, OH",,"1,780,673","2,307",772,Y,87,,87,,
50118,5118,Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail,Metra,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,547 West Jackson Boulevard,,Chicago,IL,60661,,,5,http://www.Metrarail.com/,5005,52272150,"1,940","7,261,176",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,"1,062",,"1,062",,
50119,5119,City of Detroit Department of Transportation,DDOT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,1301 East Warren,,Detroit,MI,48207,,,5,http://www.ridedetroittransit.com/,2107,6530661,144,"713,777",11,"Detroit, MI",,"3,734,090","2,793","1,337",Y,229,225,454,,
50131,5131,"Opportunity Enterprises, Inc.",OE,,Active,Full Reporter,Full Reporter,Private-Non-Profit Corporation, ,,,06/30/2015,10/31/2015,2801 Evans Avenue,,Valparaiso,IN,46383,,,5,http://www.oppent.org/,1193,23695729,590,"160,105",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,15,,15,,
50132,5132,Twin Cities Area Transportation Authority,TCATA,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,09/30/2015,1/31/2016,275 East Wall Street,,Benton Harbor,MI,49022,837,837,5,http://mywaythere.org/tcata.asp,1215,74330093,14,"27,000",443,"Benton Harbor-St. Joseph-Fair Plain, MI",,"61,022","1,308",47,Y,25,,25,,
50133,5133,Chippewa Falls General Public Shared-Ride Taxi System,CFTN,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,30 West Central Street,,Chippewa Falls,WI,54729,,,5,http://www.chippewafalls-wi.gov/,5254,84490614,11,"13,718",297,"Eau Claire, WI",,"102,852","1,491",69,Y,,8,8,,
50141,5141,Detroit Transportation Corporation,Detroit People Mover,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,535 Griswold Suite 400,,Detroit,MI,48226,,,5,http://www.thepeoplemover.com/,5574,607798118,3,"92,477",11,"Detroit, MI",,"3,734,090","2,793","1,337",Y,10,,10,,
50142,5142,Steel Valley Regional Transit Authority,Steel Valley RTA,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,555 Adams Street,,Steubenville,OH,43952,1177,1177,5,http://www.svrta.com/,5702,112741285,13,"22,113",389,"Weirton-Steubenville, WV-OH-PA",,"70,889","1,404",51,Y,7,,7,,
50143,5143,Brunswick Transit Alternative,BTA,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,4095 Center Road,,Brunswick,OH,44212,,,5,http://www.brunswick.oh.us/,,87711800,37,"46,638",25,"Cleveland, OH",,"1,780,673","2,307",772,Y,2,,2,,
50145,5145,City of Kokomo,COK,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,100 South Union Street,,Kokomo,IN,46901,4632,,5,http://www.kokomompo.com/,5470,47216288,80,"56,842",437,"Kokomo, IN",,"62,182","1,715",36,Y,29,,29,,
50146,5146,Madison County Transit District,MCT,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,One Transit Way,,Granite City,IL,62040,7500,7500,5,http://www.mct.org/,5622,131055548,189,"232,298",20,"St. Louis, MO-IL",,"2,150,706","2,329",924,Y,64,93,157,,
50148,5148,Blue Water Area Transportation Commission,Blue Water Area Transit,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,09/30/2015,1/31/2016,2021 Lapeer Avenue,,Port Huron,MI,48060,4155,,5,http://www.bwbus.com/,5636,138057034,700,"163,040",336,"Port Huron, MI",,"87,106","1,441",60,Y,55,154,209,,
50149,5149,Michiana Area Council of Governments,MACOG,,Active,Full Reporter,Full Reporter,"MPO, COG or Other Planning Agency", ,,,12/31/2015,4/30/2016,227 West Jefferson Boulevard,"County-City Building, Room 1120",South Bend,IN,46601,1830,,5,http://www.interurbantrolley.com/,1288,179378658,90,"142,692",227,"Elkhart, IN-MI",,"143,592","1,563",92,Y,,16,16,,
50152,5152,Onalaska Shared Ride Taxi City of Onalaska,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,415 Main Street,,Onalaska,WI,54650,2953,,5,http://www.cityofonalaska.com/,5657,50422997,22,"32,721",298,"La Crosse, WI-MN",,"100,868","1,978",51,Y,,9,9,,
50154,5154,Metropolitan Council,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,390 Robert St N,,St. Paul,MN,55101,1634,,5,http://www.metrocouncil.org/,1305,175974724,"2,975","2,849,712",16,"Minneapolis-St. Paul, MN-WI",,"2,650,890","2,594","1,022",Y,,223,223,,
50155,5155,Metro Mobility,,,Active,Full Reporter,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately", ,,,12/31/2015,4/30/2016,Metropolitan Council,390 North Robert Street,St. Paul,MN,55101,1805,,5,http://www.metrocouncil.org/,1305,175974724,"1,111","2,314,701",16,"Minneapolis-St. Paul, MN-WI",,"2,650,890","2,594","1,022",Y,,446,446,,
50157,5157,Butler County Regional Transit Authority,BCRTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,3045 Moser Court,Hamilton Enterprise Park,Hamilton,OH,45011,,,5,http://www.butlercountyrta.com/,5774,37756165,53,"368,130",30,"Cincinnati, OH-KY-IN",,"1,624,827","2,063",788,Y,38,,38,,
50158,5158,University of Michigan Parking and Transportation Services,UMTS,,Active,Full Reporter,Full Reporter,University, ,,,06/30/2015,10/31/2015,523 S. Division St,Campus Box 2912,Ann Arbor,MI,48104,1611,,5,http://www.pts.umich.edu/,,101570489,12,"66,641",125,"Ann Arbor, MI",,"306,022","1,918",160,N,40,,40,,
50159,5159,River Valley Metro Mass Transit District,RVMMTD,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,1137 E. 5000 N. Road,,Bourbonnais,IL,60914,,,5,http://www.rivervalleymetro.com/,5809,825765808,27,"66,386",350,"Kankakee, IL",,"81,926","2,205",37,Y,,17,17,,
50160,5160,Washington County Transit,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,900 Lang Street,,West Bend,WI,53090,,,5,http://www.co.washington.wi.us/,6195,52389079,435,"132,612",35,"Milwaukee, WI",,"1,376,476","2,523",546,Y,,33,33,,
50161,5161,Ozaukee County Transit Services,OCTS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,410 South Spring Street,,Port Washington,WI,53074,,994,5,http://www.ozaukeetransit.com/,6155,71159479,235,"86,389",35,"Milwaukee, WI",,"1,376,476","2,523",546,Y,7,23,30,,
50162,5162,TransPorte,Our Citys Wheels,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,102 L Street,,Laporte,IN,46350,9082,,5,http://www.cityoflaporte.com/,1193,74314246,13,"21,692",418,"Michigan City-La Porte, IN-MI",,"66,025","1,695",39,Y,5,,5,,
50163,5163,Licking County Transit Board,LCTB,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,745 East Main Street,,Newark,OH,43055,6932,,5,http://www.lcounty.com/,6332,1315238,683,"166,492",369,"Newark, OH",,"76,068","1,806",42,Y,,38,38,,
50165,5165,Greene County Transit Board,Greene CATS,Greene CATS Public Transit,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,2380 Bellbrook Ave,,Xenia,OH,45385,,,5,http://www.co.greene.oh.us/greenecats/,6281,140994604,425,"147,886",59,"Dayton, OH",,"724,091","2,060",351,Y,,37,37,,
50166,5166,Clermont Transportation Connection,CTC,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,4003 Filager Road,,Batavia,OH,45103,8924,,5,http://www.ctc.clermontcountyohio.gov/,6278,77435543,452,"201,460",30,"Cincinnati, OH-KY-IN",,"1,624,827","2,063",788,Y,25,18,43,,
50167,5167,"South Lake County Community Services, Inc.",SLCCS,,Active,Full Reporter,Full Reporter,Private-Non-Profit Corporation, ,,,12/31/2015,4/30/2016,1450 E. Joliet Street,Suite 202,Crown Point,IN,46307,,,5,,1193,802832592,550,"220,752",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,14,,14,,
50169,5169,Miami County Public Transit,MCPT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,2036 North County Road 25A,,Troy,OH,45373,2984,,5,http://www.co.miami.oh.us/,6284,832210186,410,"101,256",59,"Dayton, OH",,"724,091","2,060",351,Y,,17,17,,
50171,5171,Fond du Lac Area Transit,Fond du Lac Area Transit,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,530 North Doty Street, ,Fond du Lac,WI,54935,1945,,5,http://www.fdl.wi.gov/general-information.iml?DeptID=30/,2116,78942810,19,"49,167",468,"Fond du Lac, WI",,"54,901","1,903",29,Y,7,21,28,,
50174,5174,City of Danville/Danville Mass Transit,DMT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,101 North Jackson,,Danville,IL,61832,,,5,http://www.rideDMT.org/,6310,71437586,34,"88,517",492,"Danville, IL-IN",,"50,996","1,711",30,Y,11,2,13,,
50176,5176,City of DeKalb,City of DeKalb,,Active,Separate Service,Separate Service,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,200 South Fourth Street,,DeKalb,IL,60115,3733,,5,http://www.dsats.org,6299,142449680,26,"68,545",404,"DeKalb, IL",,"68,545","2,658",26,Y,,,,,
50177,5177,ColumBUS Transit,ColumBUS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,Mill Race Station,850 Lindsey St.,Columbus,IN,47201,,,5,http://www.columbus.in.gov/transit-index.html/,6311,472016774,27,"45,775",467,"Columbus, IN",,"54,933","2,016",27,Y,9,,9,,
50179,5179,"Porter County Aging and Community Services, Inc.",PCACS,PCACS,Active,Full Reporter,Full Reporter,Private-Non-Profit Corporation, ,,,06/30/2015,10/31/2015,1005 Campbell,,Valparaiso,IN,46385,6385,,5,http://www.portercountyacs.org/,1193,98656218,522,"164,343",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,7,,7,,
50180,5180,Livingston Essential Transportation Service,LETS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,3950 W. Grand River Avenue,,Howell,MI,48855,,,5,http://www.livgov.com/LETS/,5183,44797926,568,"184,443",262,"South Lyon-Howell, MI",,"119,509","1,163",103,Y,23,,23,,
50182,5182,"Pace-Suburban Bus Division, ADA Paratransit Services",PACE,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,550 West Algonquin Road,,Arlington Heights,IL,60005,,,5,http://www.pacebus.com/,5118,131205833,"1,333","6,632,399",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,,873,873,,
50183,5183,City of Valparaiso,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,166 Lincolnway,,Valparaiso,IN,46383,,,5,www.valpo.us/transit,1193,82071374,16,"31,730",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,,8,8,,
50184,5184,Macatawa Area Express Transportation Authority,MAX,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,09/30/2015,1/31/2016,171 Lincoln Avenue,Suite 20,Holland,MI,49423,,,5,http://www.catchamax.org/,6901,826962958,42,"71,572",299,"Holland, MI",,"99,941","1,687",59,Y,21,,21,,
50185,5185,Northwestern Indiana Regional Planning Commission,NIRPC,,Active,Planning Reporter,Planning Reporter,"MPO, COG or Other Planning Agency", ,,,12/31/2015,4/30/2016,6100 Southport Road,,Portage,IN,46368,,,5,http://www.nirpc.org/,1193,82071374,,,3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",N,,,,,
50186,5186,Lawrence County Port Authority,LCPA,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,305 North 5th Street,,Ironton,OH,45638,,,5,lawrencecountytransit.com,6687,608150350,67,"113,532",178,"Huntington, WV-KY-OH",,"202,637","1,555",130,Y,,11,11,,
50191,5191,Mid-Ohio Regional Planning Commission,MORPC,,Active,Full Reporter,Full Reporter,"MPO, COG or Other Planning Agency", ,,,12/31/2015,4/30/2016,111 Liberty Street,,Columbus,OH,43215,,,5,http://www.morpc.org/,1310,71643837,518,"2,253,450",36,"Columbus, OH",,"1,368,035","2,680",510,N,,29,29,,
50193,5193,"VRide, Inc. - Michigan",,,Active,Full Reporter,Full Reporter,Private Provider Reporting on Behalf of a Public Entity, ,,,12/31/2015,4/30/2016,31500 West Thirteen Mile Road,,Farmington Hills,MI,48334,,,5,http://www.vride.com/,,98675887,"2,544","10,003,422",11,"Detroit, MI",,"3,734,090","2,793","1,337",N,539,,539,,
50194,5194,Boone County Council on Aging,BCCA,,Active,Reduced Reporter,Reduced Reporter,Area Agency on Aging, ,,,06/30/2015,10/31/2015,2141 Henry Luckow Lane,,Belvidere,IL,61008,1700,,5,http://www.keenage.org/,,806534095,267,"54,165",127,"Rockford, IL",,"296,863","1,940",153,Y,7,,7,,
50195,5195,City of Shelby,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,43 West Main Street,,Shelby,OH,44875,,,5,http://www.shelbyohio.org/,1240,89249510,6,"9,317",372,"Mansfield, OH",,"75,250","1,496",50,N,1,,1,,
50196,5196,Harbor Transit Multi-Modal Transportation System,Harbor Transit,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,440 North Ferry Street,,Grand Haven,MI,49417,,,5,http://www.harbortransit.org/,7121,968926852,54,"43,857",207,"Muskegon, MI",,"161,280","1,436",112,Y,19,,19,,
50197,5197,Trumbull County Transit Board,TCTS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,160 High Street NW,,Warren,OH,44481,,,5,http://www.trumbullcountytransit.org,7154,78416185,625,"210,312",97,"Youngstown, OH-PA",,"387,550","1,608",241,Y,,21,21,,
50198,5198,Medina County Public Transit,MCPT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,144 North Broadway Street,,Medina,OH,44256,,,5,http://www.medinaco.org/transit/index.html/,7192,10836047,425,"174,091",25,"Cleveland, OH",,"1,780,673","2,307",772,N,15,3,18,,
50199,5199,Delaware County Transit Board,DATA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,119 Henderson Ct,,Delaware,OH,43015,,,5,http://www.ridedata.com/,7190,71643472,459,"174,214",36,"Columbus, OH",,"1,368,035","2,680",510,Y,15,,15,,
50200,5200,Warren County Transit Services,WCTS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,09/30/2015,1/31/2016,"406 Justice Dr., Room 311",County Admin Building,Lebanon,OH,45036,,,5,http://www.co.warren.oh.us/transit/,,784327608,72,"118,747",30,"Cincinnati, OH-KY-IN",,"1,624,827","2,063",788,N,,19,19,,
50201,5201,Hancock Area Rural Transit ,HART,,Active,Reduced Reporter,Reduced Reporter,Private-Non-Profit Corporation, ,,,12/31/2015,4/30/2016,1870 Fields Blvd.,,Greenfield ,IN,46140,,,5,http://hcssi.org/,,167504422,304,"70,002",33,"Indianapolis, IN",,"1,487,483","2,108",706,N,11,,11,,
50202,5202,City of West Bend,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,1115 South Main Street ,,West Bend,WI,53095,,,5,http://www.ci.west-bend.wi.us/,7173,80492465,15,"31,380",405,"West Bend, WI",,"68,444","1,778",38,Y,,14,14,,
50204,5204,Jackson County Mass Transit District,JCMTD,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,602 E. College Street ,,Carbondale,IL,62901,3309,,5,www.jcmtd.com,7208,103874082,584,"59,677",408,"Carbondale, IL",,"67,821","1,393",49,Y,15,,15,,
50205,5205,Greater Mankato Transit System,MTS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,10 Civic Center Plaza,,Mankato ,MN,56002,3368,3368,5,http://www.ci.mankato.mn.us/,2122,10340099,24,"52,703",456,"Mankato, MN",,"57,584","2,183",26,Y,14,,14,,
50207,5207,Midland Dial-A-Ride,Midland DART,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,4811 N. Saginaw Rd.,,Midland,MI,48640,,,5,http://www.cityofmidlandmi.gov,7243,25346916,36,"42,075",450,"Midland, MI",,"59,014","1,315",45,N,12,,12,,
50208,5208,Midland County Board of Commissioners,,,Active,Reduced Reporter,Reduced Reporter,Private-Non-Profit Corporation, ,,,09/30/2015,1/31/2016,884 E. Isabella Road,,Midland,MI,48640,,,5,http://countyconnectionofmidland.org/,,118146203,528,"83,629",450,"Midland, MI",,"59,014","1,315",45,N,24,,24,,
50209,5209,Central Indiana Regional Transportation Authority ,CIRTA,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,320 North Meridian Street,Suite 406,Indianapolis,IN,46204,,,5,http://www.cirta.us/,7107,969039945,"3,906","1,993,513",33,"Indianapolis, IN",,"1,487,483","2,108",706,N,,29,29,,
50210,5210,City of Hartford,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,109 N. Main Street,,Hartford,WI,53027,,,5,http://www.ci.hartford.wi.us/,7217,82810672,8,"14,403",405,"West Bend, WI",,"68,444","1,778",38,Y,2,,2,,
50211,5211,Rides Mass Transit District,RMTD,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,1200 West Poplar,,Harrisburg,IL,62946,,,5,http://www.ridesmtd.com/,5829,884998212,"7,379","306,981",408,"Carbondale, IL",,"67,821","1,393",49,Y,117,,117,,
50212,5212,Stateline Mass Transit District,SMTD,,Active,Separate Service,Separate Service,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,101 E. Main Street,,Rockton ,IL,61072,2520,,5,http://www.smtd.biz/,6754,825323202,51,"42,803",432,"Beloit, WI-IL",,"63,835","1,858",34,Y,,,,,
50213,5213,M-1 Rail,,,Active,Building Reporter,Building Reporter,Private-Non-Profit Corporation, ,,,09/30/2015,1/31/2016,7520 Woodward Ave,,Detroit,MI,48202,,,5,http://m-1rail.com/,,833067114,,,11,"Detroit, MI",,"3,734,090","2,793","1,337",N,,,,,
